index,name,sector,biome,hazards,hash,position,waypoints,maxHealth,health,disabled,initialOwner,currentOwner,regenPerSecond,event,statistics,attacking
10,MIDASBURG,Barnard,"{'name': 'Tundra', 'description': ""A perennially chilly climate has allowed short, colourful shrubs to flourish across this planet's surface.""}","[{'name': 'None', 'description': ""This planet's environment is not yet known, or has no environmental modifiers.""}]",2767954873,"{'x': 0.06770126, 'y': -0.1448935}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
11,CERBERUS IIIc,Cancri,"{'name': 'Desert', 'description': 'A desert planet prone to unpredictable and dangerous sand twisters.'}","[{'name': 'Intense Heat', 'description': 'High temperatures increase stamina drain and speed up heat buildup in weapons.'}, {'name': 'Tremors', 'description': 'Frequent earthquakes stun players and enemies alike.'}]",688773671,"{'x': 0.001789452, 'y': -0.18935835}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
12,PROSPERITY FALLS,Cancri,"{'name': 'Rainforest', 'description': ""The strange subversion of photosynthesis that sustains the oddly-hued flora that flourishes on this planet remains an intriguing mystery to Super Earth's greatest exo-biologists.""}","[{'name': 'Ion Storms', 'description': 'Ion storms intermittently disable Stratagems.'}]",160818366,"{'x': -0.001789474, 'y': -0.12535837}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
13,OKUL VI,Gothmar,"{'name': 'Winter', 'description': ""Submerged in eternal winter, this world's frosty peaks glimmer in the light of its too-distant star.""}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}, {'name': 'Blizzards', 'description': 'Intense blizzard reduce mobility and moderately reduce visibility for both enemy and friendly units.'}]",2877873656,"{'x': -0.06158319, 'y': -0.16488354}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
14,MARTYR'S BAY,Cantolus,"{'name': 'Icemoss', 'description': 'Ice and moss-covered rock can be found across most of the surface of this planet.'}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}]",1529228469,"{'x': -0.099012464, 'y': -0.11185683}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
15,FREEDOM PEAK,Cantolus,"{'name': 'Crimsonmoor', 'description': 'A crimson algae has propagated wildly across this entire planet, coating its rocky hills with a constant red that masks the spilt blood of the heroes who defend it from tyranny.'}","[{'name': 'Ion Storms', 'description': 'Ion storms intermittently disable Stratagems.'}]",3749877391,"{'x': -0.17010404, 'y': -0.08865711}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
16,FORT UNION,Orion,"{'name': 'Highlands', 'description': 'Rocky outcroppings punctuate fields of tall grass in a planet dominated by misty highland terrain.'}","[{'name': 'Thick Fog', 'description': 'Dense fog lightly reduce visibility for both enemy and friendly units.'}, {'name': 'Rainstorms', 'description': 'Torrential rainstorms reduce visibility.'}]",4254371037,"{'x': 0.27240774, 'y': 0.20429876}","[77, 85]",1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
17,KELVINOR,Cantolus,"{'name': 'Winter', 'description': ""Submerged in eternal winter, this world's frosty peaks glimmer in the light of its too-distant star.""}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}, {'name': 'Blizzards', 'description': 'Intense blizzard reduce mobility and moderately reduce visibility for both enemy and friendly units.'}]",2273175182,"{'x': -0.14765465, 'y': -0.030730395}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
18,WRAITH,Idun,"{'name': 'Toxic', 'description': ""Dense, toxic fumes from deep within the planet's crust seep out of cracks in the earth and coat the ground in a sickly haze.""}","[{'name': 'Acid Storms', 'description': 'Corrosive acid storms temporarily reduce armor effectiveness for both enemy and friendly units.'}]",3088889549,"{'x': -0.15065464, 'y': 0.015730456}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
19,IGLA,Kelvin,"{'name': 'Icemoss', 'description': 'Ice and moss-covered rock can be found across most of the surface of this planet.'}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}]",768352347,"{'x': -0.1728935, 'y': 0.06970126}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
20,NEW KIRUNA,Kelvin,"{'name': 'Winter', 'description': ""Submerged in eternal winter, this world's frosty peaks glimmer in the light of its too-distant star.""}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}, {'name': 'Blizzards', 'description': 'Intense blizzard reduce mobility and moderately reduce visibility for both enemy and friendly units.'}]",1299274778,"{'x': -0.12621213, 'y': 0.11136782}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
21,FORT JUSTICE,Kelvin,"{'name': 'Ethereal', 'description': 'This world teems with ethereal, boundless, and peculiar plant life that spreads silent and uninterrupted across its entire surface.'}","[{'name': 'None', 'description': ""This planet's environment is not yet known, or has no environmental modifiers.""}]",3992185257,"{'x': -0.07801243, 'y': 0.10585686}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
22,ZEGEMA PARADISE,Kelvin,"{'name': 'Jungle', 'description': 'Abundant with life, this wet planet is covered in deep oceans, thick forests, and tall grasses.'}","[{'name': 'Volcanic Activity', 'description': 'Volcanoes throw burning rocks around this planet.'}, {'name': 'Rainstorms', 'description': 'Torrential rainstorms reduce visibility.'}]",160106209,"{'x': -0.039789412, 'y': 0.14535835}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
23,PROVIDENCE,Iptus,"{'name': 'Crimsonmoor', 'description': 'A crimson algae has propagated wildly across this entire planet, coating its rocky hills with a constant red that masks the spilt blood of the heroes who defend it from tyranny.'}","[{'name': 'Ion Storms', 'description': 'Ion storms intermittently disable Stratagems.'}]",1257502272,"{'x': 0.030315775, 'y': 0.2269306}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
24,PRIMORDIA,Iptus,"{'name': 'Jungle', 'description': 'Abundant with life, this wet planet is covered in deep oceans, thick forests, and tall grasses.'}","[{'name': 'Volcanic Activity', 'description': 'Volcanoes throw burning rocks around this planet.'}, {'name': 'Rainstorms', 'description': 'Torrential rainstorms reduce visibility.'}]",2862366365,"{'x': 0.09383544, 'y': 0.25608748}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
25,SULFURA,Celeste,"{'name': 'Ethereal', 'description': 'This world teems with ethereal, boundless, and peculiar plant life that spreads silent and uninterrupted across its entire surface.'}","[{'name': 'None', 'description': ""This planet's environment is not yet known, or has no environmental modifiers.""}]",1812451556,"{'x': 0.17009519, 'y': 0.1877717}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
26,NUBLARIA I,Celeste,"{'name': 'Foggy Swamp', 'description': 'Squelching mud, twisting roots; the odor of rot and anarchy. A teeming, endless morass.'}","[{'name': 'Thick Fog', 'description': 'Dense fog lightly reduce visibility for both enemy and friendly units.'}]",4068066596,"{'x': 0.2117717, 'y': 0.12409518}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
27,KRAKATWO,Celeste,"{'name': 'Icemoss', 'description': 'Ice and moss-covered rock can be found across most of the surface of this planet.'}","[{'name': 'Extreme Cold', 'description': 'Icy temperatures reduce rate of fire and delay heat buildup in weapons.'}]",2585302931,"{'x': 0.2540875, 'y': 0.05583542}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
28,VOLTERRA,Korpus,"{'name': 'Highlands', 'description': 'Rocky outcroppings punctuate fields of tall grass in a planet dominated by misty highland terrain.'}","[{'name': 'Thick Fog', 'description': 'Dense fog lightly reduce visibility for both enemy and friendly units.'}, {'name': 'Rainstorms', 'description': 'Torrential rainstorms reduce visibility.'}]",3650236983,"{'x': 0.2939306, 'y': -0.033684243}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 380195, 'missionsLost': 43991, 'missionTime': 1546256770, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 249931475, 'bulletsFired': 1118086143, 'bulletsHit': 1088448828, 'timePlayed': 1546256770, 'deaths': 2668815, 'revives': 0, 'friendlies': 496297, 'missionSuccessRate': 89, 'accuracy': 97, 'playerCount': 1}",[]
29,CRUCIBLE,Korpus,"{'name': 'Tundra', 'description': ""A perennially chilly climate has allowed short, colourful shrubs to flourish across this planet's surface.""}","[{'name': 'None', 'description': ""This planet's environment is not yet known, or has no environmental modifiers.""}]",410562438,"{'x': 0.22952318, 'y': -0.029197697}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
30,VEIL,Barnard,"{'name': 'Wasteland', 'description': 'The lifeless grey of this planet is interrupted only by the violet flowers that grow from strange, parasitic outcroppings.'}","[{'name': 'Thick Fog', 'description': 'Dense fog lightly reduce visibility for both enemy and friendly units.'}]",3538905431,"{'x': 0.23037383, 'y': -0.0976583}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
31,MARRE IV,Barnard,"{'name': 'Desolate', 'description': 'Scorching temperatures, high winds, and low precipitation cause a near-constant cycle of fires to sweep this planet, punctuated by short bursts of lush rebirth between infernos.'}","[{'name': 'Intense Heat', 'description': 'High temperatures increase stamina drain and speed up heat buildup in weapons.'}, {'name': 'Fire Tornadoes', 'description': 'Planet is ravaged by deadly fire tornadoes.'}]",529527934,"{'x': 0.2007717, 'y': -0.1490952}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
32,FORT SANCTUARY,Cancri,"{'name': 'Crimsonmoor', 'description': 'A crimson algae has propagated wildly across this entire planet, coating its rocky hills with a constant red that masks the spilt blood of the heroes who defend it from tyranny.'}","[{'name': 'Ion Storms', 'description': 'Ion storms intermittently disable Stratagems.'}]",3945891756,"{'x': 0.15409517, 'y': -0.210073}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
33,SEYSHEL BEACH,Cancri,"{'name': 'Ethereal', 'description': 'This world teems with ethereal, boundless, and peculiar plant life that spreads silent and uninterrupted across its entire surface.'}","[{'name': 'None', 'description': ""This planet's environment is not yet known, or has no environmental modifiers.""}]",3266374354,"{'x': 0.0977173, 'y': -0.22407754}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
34,HELLMIRE,Mirin,"{'name': 'Desolate', 'description': 'Scorching temperatures, high winds, and low precipitation cause a near-constant cycle of fires to sweep this planet, punctuated by short bursts of lush rebirth between infernos.'}","[{'name': 'Intense Heat', 'description': 'High temperatures increase stamina drain and speed up heat buildup in weapons.'}, {'name': 'Fire Tornadoes', 'description': 'Planet is ravaged by deadly fire tornadoes.'}]",3551496165,"{'x': 0.5111386, 'y': 0.3511805}","[125, 168, 169, 211]",1000000,1000000,False,Terminids,Terminids,8.333333,,"{'missionsWon': 20955608, 'missionsLost': 2505018, 'missionTime': 46879313229, 'terminidKills': 5340830956, 'automatonKills': 500, 'illuminateKills': 0, 'bulletsFired': 28736458586, 'bulletsHit': 34446098308, 'timePlayed': 46879313229, 'deaths': 132396242, 'revives': 0, 'friendlies': 18756177, 'missionSuccessRate': 89, 'accuracy': 100, 'playerCount': 2}",[]
35,EFFLUVIA,Cancri,"{'name': 'Canyon', 'description': 'This arid, rocky biome covering this world has driven the evolution of exceptionally efficient water usage in its various organisms.'}","[{'name': 'Tremors', 'description': 'Frequent earthquakes stun players and enemies alike.'}]",2640422831,"{'x': -0.023138678, 'y': -0.24981944}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
36,SOLGHAST,Gothmar,"{'name': 'Foggy Swamp', 'description': 'Squelching mud, twisting roots; the odor of rot and anarchy. A teeming, endless morass.'}","[{'name': 'Thick Fog', 'description': 'Dense fog lightly reduce visibility for both enemy and friendly units.'}]",3407890530,"{'x': -0.09065833, 'y': -0.2413738}",[],1000000,1000000,False,Humans,Humans,1388.8889,,"{'missionsWon': 0, 'missionsLost': 0, 'missionTime': 0, 'terminidKills': 0, 'automatonKills': 0, 'illuminateKills': 0, 'bulletsFired': 0, 'bulletsHit': 0, 'timePlayed': 0, 'deaths': 0, 'revives': 0, 'friendlies': 0, 'missionSuccessRate': 0, 'accuracy': 0, 'playerCount': 0}",[]
